序列,单词,词义
304,president,n. 总统；校长；董事长
443,former,adj. 从前的，前者的；前任的
445,major,adj. 主要的；主修的；重要的；较多的
454,economic,adj. 经济的，经济上的；经济学的
567,land,n. 陆地；地面；国土
584,simply,adv. 简单地；朴素地；简直；仅仅；坦白地
606,century,n. 世纪，百年；（板球）一百分
625,likely,adj. 很可能的；合适的；有希望的
641,campaign,vi. 作战；参加活动；参加竞选
658,defense,n. 防卫，防护；防御措施；防守；vt. 谋划抵御
670,subject,n. 主题；科目；国民；主语
739,scene,n. 情景；景象；场面；事件
778,success,n. 成功，成就；胜利；大获成功的人或事物
781,particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
784,staff,n. 职员；支撑；参谋；棒
799,pretty,adj. 漂亮的；可爱的；优美的
814,analysis,n. 分析；分解；验定
830,financial,adj. 财政的，财务的；金融的
835,authority,n. 权威；权力；当局
847,strategy,n. 战略，策略
866,executive,adj. 执行的，经营管理的；行政的；经营的
871,entire,adj. 全部的，整个的；全体的
902,expert,adj. 熟练的；内行的；老练的
909,management,n. 管理；管理部门；经营手段；管理人员；操纵
982,specific,adj. 特殊的，特定的；明确的；详细的；具有特效的
986,throughout,adv. 自始至终，到处；全部
994,bar,n. 酒吧；条，棒；障碍
996,property,n. 财产；性质，性能；所有权
1030,commercial,adj. 商业的；营利的；靠广告收入的
1058,budget,n. 预算，预算费
1064,capital,n. 首都，省会；大写字母；资金；资本家
1075,account,n. 帐目，帐单；理由；帐户；解释
1128,credit,n. 信用，信誉；信任；贷款；声望；学分
1146,track,n. 足迹，踪迹；轨道；小道
1148,strike,vi. 罢工；打，打击；敲，敲击；抓；穿透；打动
1175,variety,n. 种类；多样；杂耍
1178,involved,adj. 卷入的；有关的；复杂的
1189,argument,n. 争吵；论据；内容提要；论证
1213,stick,vt. 粘贴；刺，戳；伸出
1266,potential,n. 可能性；潜能；电势
1270,presence,n. 出席；参加；风度；仪态；存在
1292,terms,n. 条款；地位，关系；措辞；术语；价钱（term的复数形式）
1302,flight,n. 飞行；班机；逃走
1307,emerge,vi. 浮现；暴露；摆脱
1333,faith,n. 信任；信念；信仰；忠实
1368,annual,adj. 年度的；每年的
1386,demonstrate,vt. 证明；论证；展示
1419,perspective,n. 透视图；远景；观点
1490,justice,n. 正义；司法，法律制裁；法官，审判员
1493,fair,adj. 公平的；美丽的，白皙的；晴朗的
1511,democracy,n. 民主，民主主义；民主政治
1513,primary,adj. 主要的；初级的；基本的
1516,device,n. 装置；策略；图案
1556,domestic,adj. 国内的；家庭的；驯养的；一心只管家务的
1558,literature,n. 文学；文艺；文献；著作
1616,panel,n. 仪表板；嵌板；座谈小组，全体陪审员
1623,weather,n. 天气；气象；处境；气候
1628,bear,vi. 结果实；承受
1634,proposal,n. 提议，建议；求婚
1641,adopt,vt. 收养；采取；接受；正式通过
1654,regional,adj. 地区的；整个地区的；局部的
1677,prime,adj. 基本的；最好的；主要的
1681,analyst,n. 分析者；精神分析医师；分解者
1685,regulation,n. 规则；管理；校准
1691,revenue,n. 税收，国家的收入；收益
1696,package,n. 包，包裹；套装软件，程序包
1727,capture,vt. 俘获；夺得
1737,beauty,n. 美；美人；美好的东西；美丽
1741,internal,adj. 国内的；内部的；内在的
1771,extent,n. 范围；程度；长度
1792,estate,n. 财产；房地产；身份
1812,due,adj. 到期的；应得的；应付的；预期的
1841,landscape,n. 风景，景色；山水画
1851,conservative,adj. 保守的
1903,expectation,n. 期待；预期；指望
1923,account,n. 帐目，帐单；理由；帐户；解释
